http://ted.europa.eu/udl?uri=TED:NOTICE:488952-2017:TEXT:PL:HTML&src=0 	  488952-2017 	  Norwegia-Oslo: System pozyskiwania danych 	  NO 	  07/12/2017 	6816000	 NOK 	 bez Vat 	  Wartosc bez VAT: 6 816 000.00 NOK
http://ted.europa.eu/udl?uri=TED:NOTICE:486565-2017:TEXT:PL:HTML&src=0 	  486565-2017 	  Dania-Aalborg ?: Pakiety oprogramowania do rozpoznawania g³osu 	  DK 	  06/12/2017 	6718560	 DKK 	 bez Vat 	  Wartosc bez VAT: 6 718 560.00 DKK
http://ted.europa.eu/udl?uri=TED:NOTICE:486040-2017:TEXT:PL:HTML&src=0 	  486040-2017 	  Polska-Warszawa: System pozyskiwania danych 	  PL 	  06/12/2017 	3900000	 PLN 	 z Vat 	  Najtansza oferta: 3 900 000.00 PLN / Najdrozsza oferta: 3 900 000.00 PLN brana pod uwage
http://ted.europa.eu/udl?uri=TED:NOTICE:485935-2017:TEXT:PL:HTML&src=0 	  485935-2017 	  Polska-O³awa: Pakiety oprogramowania i systemy informatyczne 	  PL 	  06/12/2017 	819697	 PLN 	 bez Vat 	  Wartosc bez VAT: 819 697.00 PLN
http://ted.europa.eu/udl?uri=TED:NOTICE:485414-2017:TEXT:PL:HTML&src=0 	  485414-2017 	  Szwajcaria-Sitten: Pakiety oprogramowania dla sprzeda¿y lub marketingu 	  CH 	  05/12/2017 	640000	 CHF 	 z Vat 	  Ca³kowita koncowa opisWartosci umowy/czesci: 640 000.00 CHF
http://ted.europa.eu/udl?uri=TED:NOTICE:485358-2017:TEXT:PL:HTML&src=0 	  485358-2017 	  Norwegia-Hamar: Systemy baz danych 	  NO 	  05/12/2017 	72600000	 NOK 	 bez Vat 	  Wartosc bez VAT: 72 600 000.00 NOK
http://ted.europa.eu/udl?uri=TED:NOTICE:485105-2017:TEXT:PL:HTML&src=0 	  485105-2017 	  Niemcy-Berlin: Pakiety oprogramowania dla baz danych 	  DE 	  05/12/2017 	0,01	 EUR 	 bez Vat 	  Wartosc bez VAT: 0.01 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:483999-2017:TEXT:PL:HTML&src=0 	  483999-2017 	  Belgia-Ruiselede: Elektroniczne zarz¹dzanie danymi (EDM) 	  BE 	  02/12/2017 	295287,47	 EUR 	 bez Vat 	  Wartosc bez VAT: 295 287.47 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:483683-2017:TEXT:PL:HTML&src=0 	  483683-2017 	  Republika Czeska-Praga: Pakiety oprogramowania statystycznego 	  CZ 	  02/12/2017 	5867760	 CZK 	 bez Vat 	  Wartosc bez VAT: 5 867 760.00 CZK
http://ted.europa.eu/udl?uri=TED:NOTICE:483606-2017:TEXT:PL:HTML&src=0 	  483606-2017 	  Hiszpania-Madryt: Pakiety oprogramowania dla wywiadu gospodarczego 	  ES 	  02/12/2017 	413040,46	 EUR 	 bez Vat 	  Wartosc bez VAT: 413 040.46 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:483127-2017:TEXT:PL:HTML&src=0 	  483127-2017 	  Norwegia-H?nefoss: Pakiety oprogramowania do zamówieñ 	  NO 	  01/12/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:482986-2017:TEXT:PL:HTML&src=0 	  482986-2017 	  Hiszpania-Barcelona: Systemy baz danych 	  ES 	  01/12/2017 	230000	 EUR 	 z Vat 	  Wartosc: 230 000 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:482870-2017:TEXT:PL:HTML&src=0 	  482870-2017 	  Polska-Warszawa: System zarz¹dzania baz¹ danych 	  PL 	  01/12/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:482866-2017:TEXT:PL:HTML&src=0 	  482866-2017 	  Niemcy-Moguncja: Pakiety oprogramowania do tworzenia dokumentów 	  DE 	  01/12/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:482516-2017:TEXT:PL:HTML&src=0 	  482516-2017 	  Niemcy-Norymberga: System automatyzacji 	  DE 	  01/12/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:482192-2017:TEXT:PL:HTML&src=0 	  482192-2017 	  Portugalia-Lizbona: Pakiety oprogramowania dla wywiadu gospodarczego 	  PT 	  01/12/2017 	406000	 EUR 	 bez Vat 	  Wartosc bez VAT: 406 000.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:482068-2017:TEXT:PL:HTML&src=0 	  482068-2017 	  Szwecja-Östersund: System zarz¹dzania dokumentacj¹ 	  SE 	  01/12/2017 	1895996	 SEK 	 z Vat 	  Najtansza oferta: 1 895 996.00 SEK / Najdrozsza oferta: 2 484 169.00 SEK brana pod uwage
http://ted.europa.eu/udl?uri=TED:NOTICE:481999-2017:TEXT:PL:HTML&src=0 	  481999-2017 	  Francja-La Rochelle: Systemy baz danych 	  FR 	  01/12/2017 	44627,12	 EUR 	 bez Vat 	  Wartosc bez VAT: 44 627.12 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:481518-2017:TEXT:PL:HTML&src=0 	  481518-2017 	  Republika Czeska-Hradec Králové: Systemy informacji medycznej 	  CZ 	  01/12/2017 	8174000	 CZK 	 bez Vat 	  Wartosc bez VAT: 8 174 000.00 CZK
http://ted.europa.eu/udl?uri=TED:NOTICE:481341-2017:TEXT:PL:HTML&src=0 	  481341-2017 	  Polska-Œwilcza: Pakiety oprogramowania i systemy informatyczne 	  PL 	  01/12/2017 	836085	 PLN 	 bez Vat 	  Wartosc bez VAT: 836 085.00 PLN
http://ted.europa.eu/udl?uri=TED:NOTICE:480487-2017:TEXT:PL:HTML&src=0 	  480487-2017 	  Polska-Gdañsk: Pakiety oprogramowania do optycznego rozpoznawania znaków (OCR) 	  PL 	  30/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:479896-2017:TEXT:PL:HTML&src=0 	  479896-2017 	  Zjednoczone Królestwo-Glasgow: Systemy baz danych 	  UK 	  30/11/2017 	420000	 GBP 	 bez Vat 	  Wartosc bez VAT: 420 000.00 GBP
http://ted.europa.eu/udl?uri=TED:NOTICE:479879-2017:TEXT:PL:HTML&src=0 	  479879-2017 	  Finlandia-Pieksämäki: Pakiety oprogramowania do serwera sieci WWW 	  FI 	  30/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:479369-2017:TEXT:PL:HTML&src=0 	  479369-2017 	  Francja-Pluzunet: Sieci 	  FR 	  30/11/2017 	442790,1	 EUR 	 bez Vat 	  Wartosc bez VAT: 442 790.10 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:478655-2017:TEXT:PL:HTML&src=0 	  478655-2017 	  Szwajcaria-Frick: Us³ugi informatyczne: konsultacyjne, opracowywania oprogramowania, internetowe i wsparcia 	  CH 	  29/11/2017 	2658500	 CHF 	 z Vat 	  Ca³kowita koncowa opisWartosci umowy/czesci: 2 658 500.00 CHF
http://ted.europa.eu/udl?uri=TED:NOTICE:478653-2017:TEXT:PL:HTML&src=0 	  478653-2017 	  Szwajcaria-Frick: Pakiety oprogramowania administracyjnego 	  CH 	  29/11/2017 	936000	 CHF 	 z Vat 	  Ca³kowita koncowa opisWartosci umowy/czesci: 936 000.00 CHF
http://ted.europa.eu/udl?uri=TED:NOTICE:478352-2017:TEXT:PL:HTML&src=0 	  478352-2017 	  Polska-Opole: System automatyzacji 	  PL 	  29/11/2017 	1732061,4	 PLN 	 z Vat 	  Wartosc: 1 732 061,40 PLN £¹cznie z VAT. Stawka VAT (%) 23
http://ted.europa.eu/udl?uri=TED:NOTICE:478162-2017:TEXT:PL:HTML&src=0 	  478162-2017 	  Polska-Jaworzno: Matematyczne lub prognozuj¹ce pakiety oprogramowania 	  PL 	  29/11/2017 	168900	 PLN 	 bez Vat 	  Wartosc bez VAT: 168 900.00 PLN
http://ted.europa.eu/udl?uri=TED:NOTICE:478095-2017:TEXT:PL:HTML&src=0 	  478095-2017 	  Niemcy-Drezno: Elektroniczne tablice informacyjne 	  DE 	  29/11/2017 	703050	 EUR 	 z Vat 	  Ca³kowita koncowa opisWartosci umowy/czesci: 703 050.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:477814-2017:TEXT:PL:HTML&src=0 	  477814-2017 	  Zjednoczone Królestwo-Liverpool: Pakiety oprogramowania i systemy informatyczne 	  UK 	  29/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:477806-2017:TEXT:PL:HTML&src=0 	  477806-2017 	  Szwecja-Sundbyberg: Us³ugi opracowywania oprogramowania bibliotecznego 	  SE 	  29/11/2017 	3200000	 SEK 	 bez Vat 	  Wartosc bez VAT: 3 200 000.00 SEK
http://ted.europa.eu/udl?uri=TED:NOTICE:477555-2017:TEXT:PL:HTML&src=0 	  477555-2017 	  Niemcy-Monachium: Us³ugi dostarczania danych 	  DE 	  29/11/2017 	204042	 EUR 	 bez Vat 	  Wartosc bez VAT: 204 042.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:476995-2017:TEXT:PL:HTML&src=0 	  476995-2017 	  Hiszpania-Walencja: Pakiety oprogramowania i systemy informatyczne 	  ES 	  29/11/2017 	942500	 EUR 	 bez Vat 	  Wartosc bez VAT: 942 500.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:476925-2017:TEXT:PL:HTML&src=0 	  476925-2017 	  Irlandia-Dublin: Us³ugi opracowywania oprogramowania informatycznego 	  IE 	  29/11/2017 	325128	 EUR 	 bez Vat 	  Wartosc bez VAT: 325 128.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:476874-2017:TEXT:PL:HTML&src=0 	  476874-2017 	  Polska-Turek: Urz¹dzenia komputerowe 	  PL 	  29/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:476333-2017:TEXT:PL:HTML&src=0 	  476333-2017 	  Norwegia-Oslo: Pakiety oprogramowania i systemy informatyczne 	  NO 	  28/11/2017 	6339500	 NOK 	 bez Vat 	  Wartosc bez VAT: 6 339 500.00 NOK
http://ted.europa.eu/udl?uri=TED:NOTICE:476154-2017:TEXT:PL:HTML&src=0 	  476154-2017 	  Niemcy-Karlsruhe: Pakiety oprogramowania do publikowania elektronicznego 	  DE 	  28/11/2017 	3416214	 EUR 	 z Vat 	  Wartosc: 3 416 214 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:475690-2017:TEXT:PL:HTML&src=0 	  475690-2017 	  Zjednoczone Królestwo-Stafford: Pakiety oprogramowania i systemy informatyczne 	  UK 	  28/11/2017 	561000	 GBP 	 z Vat 	  Najtansza oferta: 561 000.00 GBP / Najdrozsza oferta: 2 800 000.00 GBP brana pod uwage
http://ted.europa.eu/udl?uri=TED:NOTICE:475609-2017:TEXT:PL:HTML&src=0 	  475609-2017 	  Hiszpania-Madryt: System zarz¹dzania dokumentacj¹ 	  ES 	  28/11/2017 	187850	 EUR 	 bez Vat 	  Wartosc bez VAT: 187 850.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:475039-2017:TEXT:PL:HTML&src=0 	  475039-2017 	  Szwecja-Kristianstad: System monitorowania pacjentów 	  SE 	  28/11/2017 	10000000	 SEK 	 bez Vat 	  Wartosc bez VAT: 10 000 000.00 SEK
http://ted.europa.eu/udl?uri=TED:NOTICE:474979-2017:TEXT:PL:HTML&src=0 	  474979-2017 	  Bu³garia-Sofia: System informacji pasa¿erskiej czasu rzeczywistego 	  BG 	  28/11/2017 	978585	 BGN 	 bez Vat 	  Wartosc bez VAT: 978 585.00 BGN
http://ted.europa.eu/udl?uri=TED:NOTICE:474969-2017:TEXT:PL:HTML&src=0 	  474969-2017 	  Niemcy-Monachium: Pakiety oprogramowania i systemy informatyczne 	  DE 	  28/11/2017 	1	 EUR 	 bez Vat 	  Wartosc bez VAT: 1.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:474943-2017:TEXT:PL:HTML&src=0 	  474943-2017 	  Polska-Legnica: Pomoce dydaktyczne 	  PL 	  28/11/2017 	802476,9	 PLN 	 bez Vat 	  Wartosc bez VAT: 802 476.90 PLN
http://ted.europa.eu/udl?uri=TED:NOTICE:473811-2017:TEXT:PL:HTML&src=0 	  473811-2017 	  Niemcy-Hanower: System zarz¹dzania dokumentacj¹ 	  DE 	  25/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:473499-2017:TEXT:PL:HTML&src=0 	  473499-2017 	  Szwecja-Strängnäs: Systemy informacyjne 	  SE 	  25/11/2017 	10000000	 SEK 	 bez Vat 	  Wartosc bez VAT: 10 000 000.00 SEK
http://ted.europa.eu/udl?uri=TED:NOTICE:473400-2017:TEXT:PL:HTML&src=0 	  473400-2017 	  Francja-Villeneuve-d'Ascq: Biblioteczny system zarz¹dzania 	  FR 	  25/11/2017 	325550	 EUR 	 bez Vat 	  Wartosc bez VAT: 325 550.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:472832-2017:TEXT:PL:HTML&src=0 	  472832-2017 	  Grecja-Thermi: Pakiety oprogramowania do automatyzacji prac biurowych 	  GR 	  25/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:472737-2017:TEXT:PL:HTML&src=0 	  472737-2017 	  Belgia-Zwijnaarde: Pakiety oprogramowania dla sprzeda¿y, marketingu i wywiadu gospodarczego 	  BE 	  25/11/2017 	1000000	 EUR 	 bez Vat 	  Wartosc bez VAT: 1 000 000.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:472724-2017:TEXT:PL:HTML&src=0 	  472724-2017 	  Szwecja-Norrköping: Pakiety oprogramowania i systemy informatyczne 	  SE 	  25/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:471623-2017:TEXT:PL:HTML&src=0 	  471623-2017 	  Polska-Przemyœl: Autobusy transportu publicznego 	  PL 	  24/11/2017 	13069000	 PLN 	 bez Vat 	  Wartosc bez VAT: 13 069 000.00 PLN
http://ted.europa.eu/udl?uri=TED:NOTICE:471374-2017:TEXT:PL:HTML&src=0 	  471374-2017 	  Malta-Kalkara: Pakiety oprogramowania do analizy finansowej i rachunkowoœci/ksiêgowoœci 	  MT 	  24/11/2017 	5200	 EUR 	 bez Vat 	  Wartosc bez VAT: 5 200.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:471116-2017:TEXT:PL:HTML&src=0 	  471116-2017 	  Francja-Pary¿: Pakiety oprogramowania bibliotecznego 	  FR 	  24/11/2017 	232500	 EUR 	 bez Vat 	  Wartosc bez VAT: 232 500.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:470619-2017:TEXT:PL:HTML&src=0 	  470619-2017 	  Polska-Katowice: Komputery osobiste 	  PL 	  24/11/2017 	909271,09	 PLN 	 bez Vat 	  Wartosc bez VAT: 909 271.09 PLN
http://ted.europa.eu/udl?uri=TED:NOTICE:470591-2017:TEXT:PL:HTML&src=0 	  470591-2017 	  Niemcy-Poczdam: Pakiety oprogramowania i systemy informatyczne 	  DE 	  24/11/2017 	282754	 EUR 	 bez Vat 	  Wartosc bez VAT: 282 754.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:469093-2017:TEXT:PL:HTML&src=0 	  469093-2017 	  S³owenia-Ljubljana: Pakiety oprogramowania do tworzenia dokumentów 	  SI 	  23/11/2017 	2019734,4	 EUR 	 bez Vat 	  Wartosc bez VAT: 2 019 734.40 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:468931-2017:TEXT:PL:HTML&src=0 	  468931-2017 	  Zjednoczone Królestwo-Bristol: Systemy baz danych 	  UK 	  23/11/2017 	823571,57	 GBP 	 bez Vat 	  Wartosc bez VAT: 823 571.57 GBP
http://ted.europa.eu/udl?uri=TED:NOTICE:468877-2017:TEXT:PL:HTML&src=0 	  468877-2017 	  Francja-Pary¿: Pakiety oprogramowania do opracowywania harmonogramów 	  FR 	  23/11/2017 	110000	 EUR 	 bez Vat 	  Wartosc bez VAT: 110 000.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:468297-2017:TEXT:PL:HTML&src=0 	  468297-2017 	  Niemcy-Berlin: Us³ugi przechwytywania danych 	  DE 	  23/11/2017 	2296446	 EUR 	 bez Vat 	  Wartosc bez VAT: 2 296 446.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:468279-2017:TEXT:PL:HTML&src=0 	  468279-2017 	  Malta-Floriana: Pakiety oprogramowania do odwzorowywania 	  MT 	  23/11/2017 	207406,22	 EUR 	 bez Vat 	  Wartosc bez VAT: 207 406.22 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:468138-2017:TEXT:PL:HTML&src=0 	  468138-2017 	  Francja-Chartres: Pakiety oprogramowania do analizy finansowej 	  FR 	  23/11/2017 	89500	 EUR 	 bez Vat 	  Wartosc bez VAT: 89 500.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:467492-2017:TEXT:PL:HTML&src=0 	  467492-2017 	  By³a jugos³owiañska republika Macedonii-Skopje: System zarz¹dzania dokumentacj¹ 	  MK 	  22/11/2017 	7796604	 MKD 	 z Vat 	  Najtansza oferta: 7 796 604.00 MKD / Najdrozsza oferta: 8 640 000.00 MKD brana pod uwage
http://ted.europa.eu/udl?uri=TED:NOTICE:466996-2017:TEXT:PL:HTML&src=0 	  466996-2017 	  Szwecja-Göteborg: Pakiety oprogramowania i systemy informatyczne 	  SE 	  22/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:466572-2017:TEXT:PL:HTML&src=0 	  466572-2017 	  Szwecja-Jönköping: Pakiety oprogramowania i systemy informatyczne 	  SE 	  22/11/2017 	4400000	 SEK 	 bez Vat 	  Wartosc bez VAT: 4 400 000.00 SEK
http://ted.europa.eu/udl?uri=TED:NOTICE:466559-2017:TEXT:PL:HTML&src=0 	  466559-2017 	  Litwa-Wilno: Us³ugi pomocnicze w zakresie oprogramowania 	  LT 	  22/11/2017 	700000	 EUR 	 bez Vat 	  Wartosc bez VAT: 700 000.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:466431-2017:TEXT:PL:HTML&src=0 	  466431-2017 	  Niderlandy-Leidschendam: Us³ugi zarz¹dzania parkingami 	  NL 	  22/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:466403-2017:TEXT:PL:HTML&src=0 	  466403-2017 	  Niemcy-Hamburg: Pakiety oprogramowania i systemy informatyczne 	  DE 	  22/11/2017 	148000	 EUR 	 bez Vat 	  Wartosc bez VAT: 148 000.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:465894-2017:TEXT:PL:HTML&src=0 	  465894-2017 	  Polska-Gdañsk: Pakiety oprogramowania i systemy informatyczne 	  PL 	  22/11/2017 	45650	 PLN 	 z Vat 	  Najtansza oferta: 45 650.00 PLN / Najdrozsza oferta: 45 650.00 PLN brana pod uwage
http://ted.europa.eu/udl?uri=TED:NOTICE:465813-2017:TEXT:PL:HTML&src=0 	  465813-2017 	  Niemcy-Drezno: Systemy informacji medycznej 	  DE 	  22/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:464978-2017:TEXT:PL:HTML&src=0 	  464978-2017 	  Niemcy-Kolonia: Pakiety oprogramowania do sterowników systemowych 	  DE 	  21/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:464594-2017:TEXT:PL:HTML&src=0 	  464594-2017 	  Szwecja-Hässleholm: Zmienne znaki informacyjne 	  SE 	  21/11/2017 	46610000	 SEK 	 bez Vat 	  Wartosc bez VAT: 46 610 000.00 SEK
http://ted.europa.eu/udl?uri=TED:NOTICE:464325-2017:TEXT:PL:HTML&src=0 	  464325-2017 	  Szwecja-Växjö: Pakiety oprogramowania do zamówieñ 	  SE 	  21/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:464265-2017:TEXT:PL:HTML&src=0 	  464265-2017 	  Dania-Vejle: Us³ugi doradcze w zakresie programowania oprogramowania 	  DK 	  21/11/2017 	6343500	 DKK 	 bez Vat 	  Wartosc bez VAT: 6 343 500.00 DKK
http://ted.europa.eu/udl?uri=TED:NOTICE:464263-2017:TEXT:PL:HTML&src=0 	  464263-2017 	  Zjednoczone Królestwo-Leicester: Pakiety oprogramowania do opracowywania harmonogramów 	  UK 	  21/11/2017 	400000	 GBP 	 bez Vat 	  Wartosc bez VAT: 400 000.00 GBP
http://ted.europa.eu/udl?uri=TED:NOTICE:464244-2017:TEXT:PL:HTML&src=0 	  464244-2017 	  Zjednoczone Królestwo-Stirling: Pakiety oprogramowania edukacyjnego 	  UK 	  21/11/2017 	26450	 GBP 	 z Vat 	  Najtansza oferta: 26 450.00 GBP / Najdrozsza oferta: 131 778.00 GBP brana pod uwage
http://ted.europa.eu/udl?uri=TED:NOTICE:464101-2017:TEXT:PL:HTML&src=0 	  464101-2017 	  Niderlandy-Delft: Pakiety oprogramowania i systemy informatyczne 	  NL 	  21/11/2017 	2625500	 EUR 	 bez Vat 	  Wartosc bez VAT: 2 625 500.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:463587-2017:TEXT:PL:HTML&src=0 	  463587-2017 	  Polska-Warszawa: Systemy informacji medycznej 	  PL 	  21/11/2017 	810000	 PLN 	 bez Vat 	  Wartosc bez VAT: 810 000.00 PLN
http://ted.europa.eu/udl?uri=TED:NOTICE:463431-2017:TEXT:PL:HTML&src=0 	  463431-2017 	  Niemcy-Halle (Saale): Pakiety oprogramowania dla wywiadu gospodarczego 	  DE 	  21/11/2017 	142548	 EUR 	 bez Vat 	  Wartosc bez VAT: 142 548.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:462863-2017:TEXT:PL:HTML&src=0 	  462863-2017 	  Norwegia-Oslo: Us³ugi opracowywania oprogramowania do zarz¹dzania projektami 	  NO 	  18/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:462051-2017:TEXT:PL:HTML&src=0 	  462051-2017 	  Szwecja-Kungsbacka: Pakiety oprogramowania edukacyjnego 	  SE 	  18/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:462021-2017:TEXT:PL:HTML&src=0 	  462021-2017 	  Szwecja-Arvidsjaur: Pakiety oprogramowania edukacyjnego 	  SE 	  18/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:461790-2017:TEXT:PL:HTML&src=0 	  461790-2017 	  Hiszpania-Madryt: Pakiety oprogramowania szkoleniowego 	  ES 	  18/11/2017 	675880	 EUR 	 bez Vat 	  Wartosc bez VAT: 675 880.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:461775-2017:TEXT:PL:HTML&src=0 	  461775-2017 	  Francja-Limoges: Studia wykonalnoœci, us³ugi doradcze, analizy 	  FR 	  18/11/2017 	300000	 EUR 	 bez Vat 	  Wartosc bez VAT: 300 000.00 EUR
http://ted.europa.eu/udl?uri=TED:NOTICE:461351-2017:TEXT:PL:HTML&src=0 	  461351-2017 	  Irlandia-Cork: Pakiety oprogramowania statystycznego 	  IE 	  18/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:461238-2017:TEXT:PL:HTML&src=0 	  461238-2017 	  Niemcy-Monachium: Pakiety oprogramowania i systemy informatyczne 	  DE 	  18/11/2017 	0	  	 z Vat 	  Brak wartosci w ofercie
http://ted.europa.eu/udl?uri=TED:NOTICE:460107-2017:TEXT:PL:HTML&src=0 	  460107-2017 	  Chorwacja-Zagrzeb: Pakiety oprogramowania do tworzenia dokumentów 	  HR 	  17/11/2017 	7780000	 HRK 	 bez Vat 	  Wartosc bez VAT: 7 780 000.00 HRK
